fldOriginalDateModified,fldOriginalRecordingName,fldSurveyName,fldRecordingFormat,fkCardRecorderID,fldSurveyLength,fldSampleRate,fldBitsperSample,fldChannels
2017-06-05_205800_EDT,S4A01570_20170605_195800.wav,W33L13_2017-06-05_205800_EDT_00000_000.wav,wav,6,3600,24000,16,2
2017-06-05_212800_EDT,S4A01570_20170605_205802.wav,W33L13_2017-06-05_212800_EDT_00000_000.wav,wav,6,1797.99,24000,16,2
2017-06-06_045400_EDT,S4A01570_20170606_035400.wav,W33L13_2017-06-06_045400_EDT_00000_000.wav,wav,6,3600,24000,16,2
2017-06-06_055400_EDT,S4A01570_20170606_045402.wav,W33L13_2017-06-06_055400_EDT_00000_000.wav,wav,6,3597.99,24000,16,2
2017-06-06_062400_EDT,S4A01570_20170606_055402.wav,W33L13_2017-06-06_062400_EDT_00000_000.wav,wav,6,1797.99,24000,16,2
2017-06-06_205900_EDT,S4A01570_20170606_195900.wav,W33L13_2017-06-06_205900_EDT_00000_000.wav,wav,6,3600,24000,16,2
2017-06-06_212900_EDT,S4A01570_20170606_205903.wav,W33L13_2017-06-06_212900_EDT_00000_000.wav,wav,6,1796.99,24000,16,2
2017-06-07_045300_EDT,S4A01570_20170607_035300.wav,W33L13_2017-06-07_045300_EDT_00000_000.wav,wav,6,3600,24000,16,2
2017-06-07_055300_EDT,S4A01570_20170607_045303.wav,W33L13_2017-06-07_055300_EDT_00000_000.wav,wav,6,3596.99,24000,16,2
2017-06-07_062300_EDT,S4A01570_20170607_055302.wav,W33L13_2017-06-07_062300_EDT_00000_000.wav,wav,6,1797.99,24000,16,2
2017-06-07_205900_EDT,S4A01570_20170607_195900.wav,W33L13_2017-06-07_205900_EDT_00000_000.wav,wav,6,3600,24000,16,2
2017-06-07_212900_EDT,S4A01570_20170607_205902.wav,W33L13_2017-06-07_212900_EDT_00000_000.wav,wav,6,1797.99,24000,16,2
2017-06-08_045300_EDT,S4A01570_20170608_035300.wav,W33L13_2017-06-08_045300_EDT_00000_000.wav,wav,6,3600,24000,16,2
2017-06-08_055300_EDT,S4A01570_20170608_045302.wav,W33L13_2017-06-08_055300_EDT_00000_000.wav,wav,6,3597.99,24000,16,2
2017-06-08_062300_EDT,S4A01570_20170608_055303.wav,W33L13_2017-06-08_062300_EDT_00000_000.wav,wav,6,1796.99,24000,16,2
