Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	4.175044677	8.499198092	3567.6	5142.9	4.324	1575.3	-54.5	WTSP song
2	Spectrogram 1	2	110.891293083	111.945651084	1673.2	3266.6	1.054	1593.5	-79.2	SWTH call
3	Spectrogram 1	2	132.716503702	134.930655504	1553.6	4581.3	2.214	3027.6	-84.3	SWTH song
4	Spectrogram 1	2	1075.757421880	1077.660860447	7267.6	8676.1	1.903	1408.5	-75.9	BLPW song
5	Spectrogram 1	1	1359.226546770	1360.834442721	2154.8	5225.2	1.608	3070.4	-66.4	FOSP song
6	Spectrogram 1	1	1347.884100562	1350.019175514	2308.5	7566.9	2.135	5258.5	-63.9	DEJU song
7	Spectrogram 1	2	1422.678106755	1424.022413206	4778.4	8363.7	1.344	3585.3	-75.0	BAWW song
8	Spectrogram 1	2	1521.889109186	1523.536543563	2475.6	6379.6	1.647	3904.0	-75.0	MAWA song
9	Spectrogram 1	1	1809.297049669	1810.852227721	3830.0	6778.0	1.555	2947.9	-64.8	BTNW song
10	Spectrogram 1	2	2884.920690725	2887.319355177	1599.2	3750.4	2.399	2151.2	-66.0	RBNU call
11	Spectrogram 1	1	3246.370490296	3248.690077898	1360.1	4427.6	2.320	3067.4	-78.4	RCKI song
12	Spectrogram 1	2	3273.040971348	3275.347379475	1838.2	3192.6	2.306	1354.5	-72.0	RCKI song
13	Spectrogram 1	1	3407.358061893	3408.768265719	3312.1	7216.2	1.410	3904.0	-70.0	HETH song
14	Spectrogram 1	1	3565.141461479	3567.092023781	2196.7	6299.9	1.951	4103.2	-59.2	DEJU song
