Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
1	Spectrogram 1	1	7.582039331	9.750212120	3509.9	5264.8	2.168	1754.9	-78.6	WTSP song
2	Spectrogram 1	1	15.843525301	18.123844958	1408.2	3979.6	2.280	2571.4	-85.0	SWTH song
3	Spectrogram 1	2	468.963319568	470.346464278	7040.8	8938.8	1.383	1898.0	-83.4	BLPW song
4	Spectrogram 1	2	784.263764039	790.730900115	1346.9	5571.4	6.467	4224.5	-75.4	WIWR song
5	Spectrogram 1	2	814.617226787	817.439589641	1714.3	4224.5	2.822	2510.2	-72.0	FOSP song
6	Spectrogram 1	2	858.654375363	860.299196099	2693.9	5816.3	1.645	3122.4	-78.4	MAWA song
7	Spectrogram 1	2	1178.420808678	1179.878717967	5326.5	8510.2	1.458	3183.7	-79.4	BAWW song
8	Spectrogram 1	1	1358.996135262	1361.594204379	5510.2	8387.8	2.598	2877.6	-82.2	GCKI song
9	Spectrogram 1	2	1647.630789959	1650.135403353	3979.6	6244.9	2.505	2265.3	-61.0	BTNW song
10	Spectrogram 1	2	1874.724884360	1875.472530149	2632.7	4040.8	0.748	1408.2	-73.3	RBNU call
11	Spectrogram 1	2	2616.056603857	2616.860323081	2204.1	4408.2	0.804	2204.1	-74.8	BHVI song
12	Spectrogram 1	2	2740.686993073	2742.630872125	2877.6	7346.9	1.944	4469.4	-76.7	DEJU song
13	Spectrogram 1	2	3020.944528893	3023.299613128	1836.7	3551.0	2.355	1714.3	-77.1	RCKI song
14	Spectrogram 1	2	3507.358852327	3508.760688181	4102.0	6795.9	1.402	2693.9	-80.6	AMRE song
