Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
14	Spectrogram 1	1	2986.404142581	2987.692519759	7951.2	9658.5	1.288	1707.3	-78.4	BLPW song
6	Spectrogram 1	1	236.975054732	237.769774516	2659.5	7005.4	0.795	4345.9	-71.7	BTNW song
9	Spectrogram 1	1	740.869771190	742.381677119	2644.9	7102.0	1.512	4457.1	-70.0	COYE song
10	Spectrogram 1	1	819.864066847	821.618265393	4666.7	6190.5	1.754	1523.8	-64.9	DEJU song
8	Spectrogram 1	1	395.017620439	397.692530929	1527.3	6618.2	2.675	5090.9	-68.4	FOSP song
11	Spectrogram 1	1	1416.855475851	1420.240892479	6545.5	9071.8	3.385	2526.3	-71.9	GCKI song
2	Spectrogram 1	1	5.020303021	6.309299743	1167.6	6681.1	1.289	5513.5	-49.0	MAWA song
5	Spectrogram 1	1	32.635622365	34.157219999	2075.7	5513.5	1.522	3437.8	-57.0	MYWA song
4	Spectrogram 1	1	29.931713988	31.501770145	1427.0	7654.1	1.570	6227.0	-56.2	NOWA song
12	Spectrogram 1	1	2556.988881534	2558.222434152	1122.3	5179.9	1.234	4057.6	-68.2	SWTH call
7	Spectrogram 1	2	317.933342123	318.447002470	1621.6	6097.3	0.514	4475.7	-68.3	SWTH song
1	Spectrogram 1	1	0.106608751	2.829977765	1530.9	9037.0	2.723	7506.2	-56.3	WIWR song
3	Spectrogram 1	1	19.979713750	22.509248670	1945.9	6032.4	2.530	4086.5	-65.7	WTSP song
