Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Annotation
12	Spectrogram 1	1	1553.494208342	1554.590699558	2715.8	6694.7	1.096	3978.9	-56.5	ALFL song
5	Spectrogram 1	1	101.741759178	103.276846879	7326.3	8621.1	1.535	1294.7	-65.4	BLPW song
14	Spectrogram 1	1	2639.475203923	2642.202725821	1957.9	5621.1	2.728	3663.2	-67.7	BTNW song
9	Spectrogram 1	1	1226.820241188	1228.711688535	2210.5	7894.7	1.891	5684.2	-61.8	CAWA song
4	Spectrogram 1	1	49.830988992	52.118231295	1705.3	5210.5	2.287	3505.3	-59.1	FOSP song
11	Spectrogram 1	1	1459.114072353	1460.676572334	6031.6	7894.7	1.562	1863.2	-73.5	GCKI song
2	Spectrogram 1	1	5.185062000	7.113711231	2494.7	7136.8	1.929	4642.1	-55.8	MAWA song
13	Spectrogram 1	1	2611.440315815	2613.372881582	1705.3	5178.9	1.933	3473.7	-61.0	MOWA song
8	Spectrogram 1	1	238.142289431	240.211916600	2494.7	6315.8	2.070	3821.1	-59.4	MYWA song
6	Spectrogram 1	1	840.432717133	843.955195162	1421.1	7831.6	3.522	6410.5	-49.6	NOWA song
3	Spectrogram 1	1	52.321757093	53.135860285	694.7	5621.1	0.814	4926.3	-41.8	SWTH call
7	Spectrogram 1	1	174.018125072	178.541151336	2810.5	6126.3	4.523	3315.8	-58.6	WIWR song
1	Spectrogram 1	1	1.233552617	2.501370585	2123.5	5135.8	1.268	3012.3	-65.2	WTSP song
10	Spectrogram 1	1	1287.680515325	1288.475471456	2021.1	5368.4	0.795	3347.4	-71.1	YBFL song
